#separator:tab
#html:false
#columns:Simplified	Traditional	Pinyin	POS	English	Tags
#tags column:6
版图	版圖	bǎntú	n.	domain; territory	book::L08 L08::dialogue vocab unit::Immigration_Stories
课本	課本	kèběn	n.	textbook	book::L08 L08::dialogue vocab unit::Immigration_Stories
保护	保護	bǎohù	n./v.	protect; protection; defend	book::L08 L08::dialogue vocab unit::Immigration_Stories
北边	北邊	běibian	n.	north; north side; northern part; to the north of	book::L08 L08::dialogue vocab unit::Immigration_Stories
少数民族	少數民族	shǎoshùmínzú	n.	minority; ethnic group	book::L08 L08::dialogue vocab unit::Immigration_Stories
时代	時代	shídài	n.	age; era; epoch	book::L08 L08::dialogue vocab unit::Immigration_Stories
统一	統一	tǒngyī	n./adj.	unity; unified; unitary	book::L08 L08::dialogue vocab unit::Immigration_Stories
省	省	shěng	n./v.	province; save	book::L08 L08::dialogue vocab unit::Immigration_Stories
扩大	擴大	kuòdà	v.	expand; enlarge; broaden one's scope	book::L08 L08::dialogue vocab unit::Immigration_Stories
经过	經過	jīngguò	v.	pass; go through	book::L08 L08::dialogue vocab unit::Immigration_Stories
朝代	朝代	cháodài	n.	dynasty	book::L08 L08::dialogue vocab unit::Immigration_Stories
渐渐	漸漸	jiànjiàn	adv.	gradually	book::L08 L08::dialogue vocab unit::Immigration_Stories
战争	戰爭	zhànzhēng	n.	war; conflict	book::L08 L08::dialogue vocab unit::Immigration_Stories
部分	部分	bùfen	n.	part; share; section; piece	book::L08 L08::dialogue vocab unit::Immigration_Stories
由	由	yóu	prep.	by; from	book::L08 L08::dialogue vocab unit::Immigration_Stories
建立	建立	jiànlì	v.	establish; set up; found	book::L08 L08::dialogue vocab unit::Immigration_Stories
强大	強大	qiángdà	adj.	powerful; strong	book::L08 L08::dialogue vocab unit::Immigration_Stories
国王	國王	guówáng	n.	king	book::L08 L08::dialogue vocab unit::Immigration_Stories
朝拜	朝拜	cháobài	v.	worship; pilgrimage	book::L08 L08::dialogue vocab unit::Immigration_Stories
皇帝	皇帝	huángdì	n.	emperor	book::L08 L08::dialogue vocab unit::Immigration_Stories
州	州	zhōu	n.	state (e.g., of the United States)	book::L08 L08::dialogue vocab unit::Immigration_Stories
州府	州府	zhōufǔ	n.	state capital	book::L08 L08::dialogue vocab unit::Immigration_Stories
省会	省會	shěnghuì	n.	provincial capital	book::L08 L08::dialogue vocab unit::Immigration_Stories
首都	首都	shǒudū	n.	capital	book::L08 L08::dialogue vocab unit::Immigration_Stories
位于	位於	wèiyú	v.	be located/situated	book::L08 L08::essay vocab unit::Immigration_Stories
部	部	bù	n.	part/section (usually a suffix of direction words such as 南部)	book::L08 L08::essay vocab unit::Immigration_Stories
盆地	盆地	péndì	n.	basin (geog.)	book::L08 L08::essay vocab unit::Immigration_Stories
高原	高原	gāoyuán	n.	plateau	book::L08 L08::essay vocab unit::Immigration_Stories
组成	組成	zǔchéng	v.	form/make up (into)	book::L08 L08::essay vocab unit::Immigration_Stories
气候	氣候	qìhòu	n.	climate	book::L08 L08::essay vocab unit::Immigration_Stories
复杂	複雜	fùzá	adj.	complicated; complex	book::L08 L08::essay vocab unit::Immigration_Stories
四季	四季	sìjì	n.	four seasons	book::L08 L08::essay vocab unit::Immigration_Stories
平均	平均	píngjūn	adj./adv.	average; equally	book::L08 L08::essay vocab unit::Immigration_Stories
温度	温度	wēndù	n.	temperature	book::L08 L08::essay vocab unit::Immigration_Stories
摄氏度	攝氏度	shèshìdù	n.	Celsius; 华氏度 Fahrenheit	book::L08 L08::essay vocab unit::Immigration_Stories
面积	面積	miànjī	n.	surface area	book::L08 L08::essay vocab unit::Immigration_Stories
平方公里	平方公里	píngfānggōnglǐ	n.	square kilometer	book::L08 L08::essay vocab unit::Immigration_Stories
风景	風景	fēngjǐng	n.	scenery	book::L08 L08::essay vocab unit::Immigration_Stories
景点	景點	jǐngdiǎn	n.	scenic spots	book::L08 L08::essay vocab unit::Immigration_Stories
面食小吃	麵食小吃	miànshí xiǎochī	n.	cooked wheaten snacks	book::L08 L08::essay vocab unit::Immigration_Stories
火锅	火鍋	huǒguō	n.	hot pot	book::L08 L08::essay vocab unit::Immigration_Stories
口味	口味	kǒuwèi	n.	a person's taste	book::L08 L08::essay vocab unit::Immigration_Stories
辣	辣	là	adj.	spicy	book::L08 L08::essay vocab unit::Immigration_Stories
国宝	國寶	guóbǎo	n.	national treasure	book::L08 L08::essay vocab unit::Immigration_Stories
大熊猫	大熊猫	dàxióngmāo	n.	giant panda	book::L08 L08::essay vocab unit::Immigration_Stories
游客	遊客	yóukè	n.	tourist	book::L08 L08::essay vocab unit::Immigration_Stories
观赏	觀賞	guānshǎng	v.	enjoy sight of	book::L08 L08::essay vocab unit::Immigration_Stories
宝宝	寶寶	bǎobao	n.	baby	book::L08 L08::essay vocab unit::Immigration_Stories
互动	互動	hùdòng	v./n.	interact; interaction	book::L08 L08::essay vocab unit::Immigration_Stories
独居	獨居	dújū	v.	live alone	book::L08 L08::essay vocab unit::Immigration_Stories
熟悉	熟悉	shúxī	v.	know something/someone well	book::L08 L08::essay vocab unit::Immigration_Stories
排泄物	排泄物	páixièwù	n.	excrement	book::L08 L08::essay vocab unit::Immigration_Stories
抹	抹	mǒ	v.	daub; rub	book::L08 L08::essay vocab unit::Immigration_Stories
闻	聞	wén	v.	smell	book::L08 L08::essay vocab unit::Immigration_Stories
味道	味道	wèidao	n.	taste; flavor; smell	book::L08 L08::essay vocab unit::Immigration_Stories
