#separator:tab
#html:false
#columns:Simplified	Traditional	Pinyin	POS	English	Tags
#tags column:6
菜名	菜名	cài míng	n.	dish name	book::L09 L09::dialogue vocab unit::Community_and_Society
翻译	翻譯	fānyì	v./n.	translate; translation	book::L09 L09::dialogue vocab unit::Community_and_Society
中国城	中國城	Zhōngguóchéng	n.	Chinatown	book::L09 L09::dialogue vocab unit::Community_and_Society
大概	大概	dàgài	adv.	probably	book::L09 L09::dialogue vocab unit::Community_and_Society
客人	客人	kèrén	n.	guest	book::L09 L09::dialogue vocab unit::Community_and_Society
粉丝	粉絲	fěnsī	n.	vermicelli made from bean starch; fan	book::L09 L09::dialogue vocab unit::Community_and_Society
可怕	可怕	kěpà	adj.	horrible	book::L09 L09::dialogue vocab unit::Community_and_Society
蚂蚁	螞蟻	mǎyǐ	n.	ant	book::L09 L09::dialogue vocab unit::Community_and_Society
影响	影響	yǐngxiǎng	n./v.	influence	book::L09 L09::dialogue vocab unit::Community_and_Society
吉祥	吉祥	jíxiáng	adj.	auspicious	book::L09 L09::dialogue vocab unit::Community_and_Society
年糕	年糕	niángāo	n.	rice cake	book::L09 L09::dialogue vocab unit::Community_and_Society
发菜	髮菜	fàcài	n.	hair-like seaweed; fat choy	book::L09 L09::dialogue vocab unit::Community_and_Society
发财	發財	fācái	v.o.	get rich	book::L09 L09::dialogue vocab unit::Community_and_Society
运气	運氣	yùnqì	n.	luck	book::L09 L09::dialogue vocab unit::Community_and_Society
富裕	富裕	fùyù	adj.	rich	book::L09 L09::dialogue vocab unit::Community_and_Society
谐音字	諧音字	xiéyīn zì	n.	homophonic words	book::L09 L09::dialogue vocab unit::Community_and_Society
学问	學問	xuéwèn	n.	knowledge	book::L09 L09::dialogue vocab unit::Community_and_Society
周末	周末	zhōumò	n.	weekend	book::L09 L09::dialogue vocab unit::Community_and_Society
挤来挤去	擠來擠去	jǐ lái jǐ qù	v.	squeeze around	book::L09 L09::dialogue vocab unit::Community_and_Society
舒服	舒服	shūfu	adj.	comfortable	book::L09 L09::dialogue vocab unit::Community_and_Society
点菜	點菜	diǎncài	v.o.	choose dishes from a menu; order dishes	book::L09 L09::dialogue vocab unit::Community_and_Society
蚂蚁上树	螞蟻上樹	Mǎyǐ shàngshù		Sauteed vermicelli with minced pork (proper name)	book::L09 L09::dialogue vocab unit::Community_and_Society
红烧狮子头	紅燒獅子頭	Hóngshāo shīzitóu		Braised pork ball in brown sauce (proper name)	book::L09 L09::dialogue vocab unit::Community_and_Society
夫妻肺片	夫妻肺片	Fūqī fèipiàn		Sliced beef and ox tongue in chili sauce (proper name)	book::L09 L09::dialogue vocab unit::Community_and_Society
佛跳墙	佛跳墻	Fótiàoqiáng		Steamed abalone with shark's fin and fish maw (proper name)	book::L09 L09::dialogue vocab unit::Community_and_Society
