#separator:tab
#html:false
#columns:Simplified	Traditional	Pinyin	POS	English	Tags
#tags column:6
初	初	chū	adv.	at the beginning	book::L07 L07::dialogue vocab unit::Immigration_Stories
投资	投資	tóuzī	v./n.	invest; investment	book::L07 L07::dialogue vocab unit::Immigration_Stories
饮食	飲食	yǐnshí	n.	diet	book::L07 L07::dialogue vocab unit::Immigration_Stories
早餐	早餐	zǎocān	n.	breakfast	book::L07 L07::dialogue vocab unit::Immigration_Stories
午餐	午餐	wǔcān	n.	lunch	book::L07 L07::dialogue vocab unit::Immigration_Stories
晚餐	晚餐	wǎncān	n.	dinner	book::L07 L07::dialogue vocab unit::Immigration_Stories
喝	喝	hē	v.	drink	book::L07 L07::dialogue vocab unit::Immigration_Stories
杯	杯	bēi	mw.	cup; cupful; glassful	book::L07 L07::dialogue vocab unit::Immigration_Stories
咖啡	咖啡	kāfēi	n.	coffee	book::L07 L07::dialogue vocab unit::Immigration_Stories
即使	即使	jíshǐ	conj.	even if	book::L07 L07::dialogue vocab unit::Immigration_Stories
冰	冰	bīng	n./adj.	ice; icy	book::L07 L07::dialogue vocab unit::Immigration_Stories
牛奶	牛奶	niúnǎi	n.	milk	book::L07 L07::dialogue vocab unit::Immigration_Stories
麦片	麥片	màipiàn	n.	cereal	book::L07 L07::dialogue vocab unit::Immigration_Stories
三明治	三明治	sānmíngzhì	n.	sandwich	book::L07 L07::dialogue vocab unit::Immigration_Stories
汉堡	漢堡	hànbǎo	n.	hamburger	book::L07 L07::dialogue vocab unit::Immigration_Stories
受不了	受不了	shòubùliǎo	v.	be unable to endure; cannot stand/bear	book::L07 L07::dialogue vocab unit::Immigration_Stories
点餐	點餐	diǎncān	v.o.	order food	book::L07 L07::dialogue vocab unit::Immigration_Stories
土豆饼	土豆餅	tǔdòubǐng	n.	hash brown	book::L07 L07::dialogue vocab unit::Immigration_Stories
服务员	服務員	fúwùyuán	n.	waiter; waitress	book::L07 L07::dialogue vocab unit::Immigration_Stories
卖	賣	mài	v.	sell	book::L07 L07::dialogue vocab unit::Immigration_Stories
家	家	jiā	mw.	individual measure for a family; individual measure for institutions and enterprises	book::L07 L07::dialogue vocab unit::Immigration_Stories
超市	超市	chāoshì	n.	supermarket	book::L07 L07::dialogue vocab unit::Immigration_Stories
寂寞	寂寞	jìmò	adj.	lonely	book::L07 L07::dialogue vocab unit::Immigration_Stories
融入	融入	róngrù	v.	adapt to; mingle with	book::L07 L07::dialogue vocab unit::Immigration_Stories
熔炉	熔爐	rónglú	n.	melting pot	book::L07 L07::dialogue vocab unit::Immigration_Stories
纸	紙	zhǐ	n.	paper	book::L07 L07::essay vocab unit::Immigration_Stories
商人	商人	shāngrén	n.	merchant	book::L07 L07::essay vocab unit::Immigration_Stories
公民	公民	gōngmín	n.	citizen	book::L07 L07::essay vocab unit::Immigration_Stories
地震	地震	dìzhèn	n.	earthquake	book::L07 L07::essay vocab unit::Immigration_Stories
市政厅	市政廳	shìzhèngtīng	n.	city hall	book::L07 L07::essay vocab unit::Immigration_Stories
着火	著火	zháohuǒ	v.	on fire; catch fire	book::L07 L07::essay vocab unit::Immigration_Stories
烧毁	燒毀	shāohuǐ	v.	destroy by fire	book::L07 L07::essay vocab unit::Immigration_Stories
声称	聲稱	shēngchēng	v.	claim	book::L07 L07::essay vocab unit::Immigration_Stories
名额	名額	míng'é	n.	quota	book::L07 L07::essay vocab unit::Immigration_Stories
假	假	jiǎ	adj.	fake	book::L07 L07::essay vocab unit::Immigration_Stories
身份	身份	shēnfèn	n.	identity	book::L07 L07::essay vocab unit::Immigration_Stories
移民局	移民局	yímínjú	n.	Immigration Office	book::L07 L07::essay vocab unit::Immigration_Stories
审问	審問	shěnwèn	n./v.	interrogation; interrogate	book::L07 L07::essay vocab unit::Immigration_Stories
